,Feature Index,P-Value
0,1,0.053833008802172816
1,2,0.16434439849706262
2,3,0.7724443202501888
3,4,0.5828449049385347
4,5,0.02311498390475164
5,6,0.2509402865681538
6,7,0.987503046825754
7,8,0.8595219129627176
8,9,0.2542329516602842
9,10,0.8715580149183176
10,11,0.11719569418645233
11,12,0.09272381290664426
12,13,0.814202816325517
13,14,0.7159820514371269
14,15,0.06207374459425803
15,16,0.37709851030828745
16,17,0.9507173920759153
17,18,0.9202617310437963
18,19,0.19475984781417194
19,20,0.6806643284054048
20,21,0.6949139097653219
21,22,0.8351898211851339
22,23,0.2583736889722313
23,24,0.15523341287917503
24,25,0.6876430495119443
25,26,0.3641154216692758
26,27,0.7983151537724407
27,28,0.9511917056223023
28,29,0.95400931396608
29,30,0.8755781647998166
30,31,0.528328089553683
31,32,0.6138370945246493
32,33,0.6896508766257372
33,34,0.8791757157729222
34,35,0.4651451665713239
35,36,0.1055087148454126
36,37,0.5778116903389787
37,38,0.3920763416538865
38,39,0.7178802439816712
39,40,0.5447743678676276
40,41,0.22805494741505553
41,42,0.8926318441421417
42,43,0.3161731896653226
43,44,0.12030712773027952
44,45,0.19176501909702415
45,46,0.3254987987869339
46,47,0.9407503359330189
47,48,0.7010981662581904
48,49,0.817351570074001
49,50,0.3931669498716164
50,51,0.011521096430204757
51,52,0.9148053634763182
52,53,0.10236678018962668
53,54,0.6586351165837243
54,55,0.7840941617513599
55,56,0.8566843374096665
56,57,0.8567716100020737
57,58,0.4357593338634078
58,59,0.4057572020878878
59,60,0.7962055496247662
60,61,0.59109511280413
61,62,0.7539568513707292
62,63,0.07446529945332916
63,64,0.2664942321537181
64,65,0.775333709133578
65,66,0.7680101253591388
66,67,0.9121779577236026
67,68,0.4948273428219564
68,69,0.6322167576742894
69,70,0.12208265756185402
70,71,0.9884309292983385
71,72,0.42600104675665407
72,73,0.4316739214465892
73,74,0.6498915036482139
74,75,0.7364242569550778
75,76,0.011252740353614493
76,77,0.9463275561449018
77,78,0.08752928199065078
78,79,0.45750015700000624
79,80,0.760972056574676
80,81,0.5344498198757652
81,82,0.3395226985828217
82,83,0.6500676412449848
83,84,0.7766783767191978
84,85,0.36971267435719235
85,86,0.5939692956503279
86,87,0.6438302940726426
87,88,0.5320439470027483
88,89,0.5494229176928653
89,90,0.8616799961410508
90,91,0.23555017115482332
91,92,0.054035357243630934
92,93,0.5013667292617193
93,94,0.5259334595192384
94,95,0.6855269400903967
95,96,0.2579584162332591
96,97,0.675766519255645
97,98,0.3590779058684388
98,99,0.964707873928826
99,100,0.8891518510618637
100,101,0.5153110489157111
101,102,0.46374173978687494
102,103,0.46614327470265227
103,104,0.45530850823470936
104,105,0.9815116537385611
105,106,0.5743301466741886
106,107,0.34287800022783876
107,108,0.5624998790986868
108,109,0.05446822207215541
109,110,0.11780140206601505
110,111,0.03669703995327273
111,112,0.06220115667232781
112,113,0.5984004777713569
113,114,0.3965951983159256
114,115,0.24333258501119573
115,116,0.8630956821602811
116,117,0.46097261572349824
117,118,0.569198210154856
118,119,0.20807912720494545
119,120,0.08441107226077578
120,121,0.37790409409482206
121,122,0.34304955568496
122,123,0.22264356551951114
123,124,0.6339351362489225
124,125,0.10075911026092846
125,126,0.26370572462884945
126,127,0.9706028640594403
127,128,0.5539453912503525
128,129,0.1757762406196553
129,130,0.014393378516624242
130,131,0.11601057099605493
131,132,0.9286147313915202
132,133,0.062104892915794185
133,134,0.7334835270546185
134,135,0.056461599040804875
135,136,0.13142952781612546
136,137,0.043549627857044
137,138,0.309170952760312
138,139,0.5458288507179315
139,140,0.24998697000071926
140,141,0.49460758126226123
141,142,0.1409805784227607
142,143,0.689491393279326
143,144,0.7828825023584299
144,145,0.5193155551696307
145,146,0.5272353848278519
146,147,0.8339505158847073
147,148,0.12595646868864735
148,149,0.4594398104850781
149,150,0.350466378644147
150,151,0.5844811587689372
151,152,0.5547949611111923
152,153,0.27543138439959314
153,154,0.7669202650821829
154,155,0.12161487563414593
155,156,0.7091572155939625
156,157,0.8371664414450495
157,158,0.880307165528536
158,159,0.9084566017634083
159,160,0.12114022881795
160,161,0.8732461202263518
161,162,0.8988213754633299
162,163,0.5800778215366241
163,164,0.11751073645168479
164,165,0.4974714383611948
165,166,0.8309014567008174
166,167,0.8597886181323797
167,168,0.45027453426991093
168,169,0.04990761195760799
169,170,0.9839179526979801
170,171,0.9570100251075285
171,172,0.7795567277677575
172,173,0.07641099816430663
173,174,0.2562238562027024
174,175,0.4446619544074002
175,176,0.538177809417536
176,177,0.61422987530004
177,178,0.956515405606432
178,179,0.9169060279009182
179,180,0.2807264794177651
180,181,0.8328100298209247
181,182,0.3114032338015688
182,183,0.03132689131114225
183,184,0.4317153003551025
184,185,0.5072859996867817
185,186,0.848834340243327
186,187,0.5947815623890267
187,188,0.6016962700684239
188,189,0.4291539953481862
189,190,0.3086989139523024
190,191,0.7622761206630997
191,192,0.20359413841528579
192,193,0.18847643996511326
193,194,0.7605036054071166
194,195,0.547915680612482
195,196,0.02972585570737213
196,197,0.8239312955943833
197,198,0.5112218747692993
198,199,0.9280021927515347
199,200,0.2451939609214051
200,201,0.629727830230217
201,202,0.8835688101346558
202,203,0.9485588079078815
203,204,0.7385198864014035
204,205,0.9251941802795849
205,206,0.12228992068694099
206,207,0.2644084570842622
207,208,0.5517515295054836
208,209,0.9039978663067975
209,210,0.5803944972155266
210,211,0.14775277589200994
211,212,0.3490107146722178
212,213,0.44062087395792715
213,214,0.7211277859510468
214,215,0.32023570450948374
215,216,0.7395427834745555
216,217,0.4448393765056361
217,218,0.9406930793056897
218,219,0.3146634396045547
219,220,0.2722093368311139
220,221,0.637511221137135
221,222,0.4303592518771576
222,223,0.16304356885895982
223,224,0.8381688452434602
224,225,0.8496376305136406
225,226,0.47478875734968795
226,227,0.4013121062802595
227,228,0.5060958662939903
228,229,0.09085586803088681
229,230,0.5223394733386088
230,231,0.9389256645714422
231,232,0.5938696281335616
232,233,0.854804667708104
233,234,0.7370694602702599
234,235,0.3975466607023491
235,236,0.20152814116807147
236,237,0.1314351427822836
237,238,0.9654088955411871
238,239,0.26785462365631696
239,240,0.8289086178711943
240,241,0.7861002917707841
241,242,0.13194969558288877
242,243,0.393267169046845
243,244,0.5089875996727983
244,245,0.08595619270015549
245,246,0.1631526643920654
246,247,0.5411352181592624
247,248,0.9884283786591359
248,249,0.8020348866947239
249,250,0.9851395173912539
250,251,0.9279460269866977
251,252,0.26903828117706763
252,253,0.8446755831235436
